,id,name,neighbourhood,suburb,state,postcode,latf,longf,tunnel,latL,longL,type,latM,longM,oneway,bridge,total_street_distance,nodes_number,number_of_segments,segment_distance,segment_nodes_number,places_cluster_number,places_cluster_lat,places_cluster_long,incidents_cluster_number,incidenst_cluster_latup,incidents_cluster_longup,icndienst_cluster_latdown,incidnets_cluster_longdown
17,681095493,طريق سيدى سليمان,NoData,Kom al Akhdar,Giza Governorate,12571,30.018443100000002,31.1182165,no,30.0250543,31.1129002,residential,30.022992699999996,31.113868699999998,yes,no,1934.618839333927,53,2,962.064355667181,26,19,30.03062393125,31.12709319375,3,30.049311883,31.154097691,29.979311883,31.084097691
18,46899039,شارع الصفا والمروه,NoData,Kom al Akhdar,Giza Governorate,12814,30.006624600000006,31.163181400000003,no,30.0101865,31.157650399999994,residential,30.009593699999996,31.1600396,no,no,1735.2207234136954,82,2,742.0940505559203,35,52,30.012540852380948,31.170507119047624,6,30.051541860305342,31.218788770992365,29.98154186030534,31.148788770992365
19,681384898,شارع جمال عبد الناصر,NoData,Kom al Akhdar,Giza Governorate,12125,29.967298600000003,31.1431442,no,29.964316999999998,31.141383899999997,residential,29.9661822,31.1425309,no,no,1440.5552768532034,62,2,440.64883754002256,23,6,29.97858284782609,31.150254786956523,4,30.003300916528925,31.20247547107438,29.933300916528925,31.132475471074383
20,30072123,شارع الثلاثينى الجديد,NoData,Kom al Akhdar,Giza Governorate,12574,29.987393,31.164589799999998,no,29.989888699999998,31.1716495,residential,29.9881909,31.166871999999998,no,no,1746.9337094685336,48,2,789.4242989134482,16,38,29.991869495,31.16231143,4,30.003300916528925,31.20247547107438,29.933300916528925,31.132475471074383
21,30081020,شارع دكتور محمد فؤاد سعيد,NoData,Kom al Akhdar,Giza Governorate,12552,29.9874017,31.199485,no,29.987486999999998,31.206641700000002,residential,29.986693,31.203033,no,no,1749.6405204072864,99,2,764.0511133736895,44,53,29.98398053076923,31.20826177692308,6,30.051541860305342,31.218788770992365,29.98154186030534,31.148788770992365
22,722271726,شارع الترعه,NoData,Kom al Akhdar,Giza Governorate,12571,30.0087372,31.126802299999998,no,30.016247200000002,31.1256543,residential,30.0125683,31.1239537,yes,no,2217.01881246142,73,3,993.8153574851073,33,17,29.9982828,31.119271644,3,30.049311883,31.154097691,29.979311883,31.084097691
23,680356137,طريق منشيه البكارى,NoData,Kom al Akhdar,Giza Governorate,12943,30.024950300000004,31.129980699999997,no,30.0226745,31.1402374,residential,30.023694,31.1357501,no,no,2400.3822496100474,94,3,984.3382787284115,32,19,30.03062393125,31.12709319375,3,30.049311883,31.154097691,29.979311883,31.084097691
24,680356137,طريق منشيه البكارى,NoData,Kom al Akhdar,Giza Governorate,12943,30.019619399999996,31.1488554,no,30.0162059,31.1502912,residential,30.018732300000003,31.1492376,no,no,2400.3822496100474,94,3,416.6989792733441,16,26,30.008944027777783,31.139241811111113,3,30.049311883,31.154097691,29.979311883,31.084097691
25,681853334,شارع ترعه الاخلاص,NoData,Kom al Akhdar,Giza Governorate,12565,29.983136600000005,31.172215899999998,no,29.9854184,31.1812929,residential,29.9844257,31.177345399999997,no,no,2633.616011486354,65,3,942.458134027829,28,8,29.993542444444447,31.1829349,4,30.003300916528925,31.20247547107438,29.933300916528925,31.132475471074383
26,686079379,شارع أبو بكر الصديق,NoData,Meet Oqba,Giza Governorate,12946,30.073246299999997,31.170814500000002,no,30.064298200000003,31.168757399999997,residential,30.0659533,31.1690417,no,no,1117.2238250302464,13,2,958.8201435866297,10,37,30.06013080555556,31.17510496111111,2,30.094225793382353,31.232713202941174,30.024225793382353,31.162713202941173
27,99292994,Side Al Bostan Street,NoData,Mena Garden City,Giza Governorate,12573,30.0194672,30.9862813,no,30.0123065,30.979722600000002,residential,30.017127000000002,30.9865082,yes,no,1130.3034095170892,13,1,474.1675667991825,13,15,30.007984285,30.989788315,1,30.02255279469027,31.02629266902655,29.952552794690266,30.956292669026553
28,99261940,شارع الحكمة,Green Residence 2,Mena Garden City,Giza Governorate,12573,30.027067,30.9759381,no,30.0257695,30.974249100000005,residential,30.0259092,30.9746157,yes,no,1224.838117105287,32,2,259.75656063266115,14,49,30.02174892,30.97498262,9,30.074779335555554,30.99271797,30.004779335555554,30.92271797
29,99294142,شارع البستان الجانبى,Neighborhood 4,Mena Garden City,Giza Governorate,12573,30.0258226,30.973020399999996,no,30.0215685,30.9803794,residential,30.0233842,30.9764869,yes,no,1875.283089589819,39,2,904.2812272747881,15,49,30.02174892,30.97498262,9,30.074779335555554,30.99271797,30.004779335555554,30.92271797
30,395325288,شارع رشاح الساحل,NoData,Nazlet al Batran,Giza Governorate,12565,29.975410399999998,31.1788305,no,29.9747771,31.175990000000002,residential,29.974937699999998,31.176845,no,no,1320.918426014134,44,2,349.05760223951495,9,21,29.970645803703704,31.17331431481481,4,30.003300916528925,31.20247547107438,29.933300916528925,31.132475471074383
31,721559622,شارع مدرسه الاورمان,NoData,Nazlet al Batran,Giza Governorate,12841,29.9580439,31.171740000000003,no,29.9533055,31.1732608,residential,29.954860200000002,31.172909399999998,yes,no,1550.8275097806852,25,2,765.7882799640788,10,0,29.948324517391306,31.18014520869565,4,30.003300916528925,31.20247547107438,29.933300916528925,31.132475471074383
32,30066822,شارع شهداء الاقصي,NoData,Nazlet al Batran,Giza Governorate,12565,29.978155100000002,31.2048588,no,29.978178999999997,31.2051188,residential,29.978168,31.2050409,no,no,1038.1075882100045,68,2,49.997714654294064,4,53,29.98398053076923,31.20826177692308,4,30.003300916528925,31.20247547107438,29.933300916528925,31.132475471074383
33,674871727,Al Labini Street,NoData,Nazlet al Batran,Giza Governorate,12947,29.964302000000004,31.165920399999997,no,29.959287,31.1622506,residential,29.963961199999996,31.1657201,no,no,2832.2173451350063,59,3,904.0429081725607,18,21,29.970645803703704,31.17331431481481,4,30.003300916528925,31.20247547107438,29.933300916528925,31.132475471074383
34,721613545,شارع اللبينى,NoData,Nazlet al Batran,Giza Governorate,12947,29.9733043,31.1733828,no,29.9655977,31.1756424,residential,29.9709602,31.176784,no,no,3958.2671880233397,112,4,984.3571301215062,31,21,29.970645803703704,31.17331431481481,4,30.003300916528925,31.20247547107438,29.933300916528925,31.132475471074383
35,721613545,شارع اللبينى,NoData,Nazlet al Batran,Giza Governorate,12947,29.957445500000002,31.177199600000005,no,29.948866,31.1790839,residential,29.9512587,31.178011699999995,no,no,3958.2671880233397,112,4,990.5113076514076,26,0,29.948324517391306,31.18014520869565,4,30.003300916528925,31.20247547107438,29.933300916528925,31.132475471074383
36,361169631,Temperary_name,Block 1,1st District,Giza Governorate,12563,30.0185734,31.0072085,no,30.0187349,31.007699699999996,trunk_link,30.0187349,31.007699699999996,yes,no,50.58725012618368,2,1,50.58725012618368,2,47,30.020362753846154,31.00811661538461,5,30.072512082191786,31.071139368493146,30.00251208219178,31.001139368493146
37,361169622,Temperary_name,NoData,1st District,Giza Governorate,12563,30.033244500000002,31.029206300000002,no,30.032805699999997,31.0282026,trunk_link,30.032884999999997,31.0284368,yes,no,109.80603581935219,8,1,109.80603581935219,8,25,30.03217624615385,31.02781466923077,5,30.072512082191786,31.071139368493146,30.00251208219178,31.001139368493146
